"jobArea";"jobTitle";"companySector";"generalExperience";"cloudExperience"
"industry";"Manager";"Information and communication";30;1
"academia";"Manager";"";0;0
"academia";"Prof.";"";30;10
"academia";"";"";15;5
"academia";"";"";5;3
"industry";"Software Architect";"Information and communication";13;5
"industry";"Software Developer";"Information and communication";4;1
"student";"";"";10;2
"industry";"Software Developer";"Information and communication";10;5
"industry";"Software Developer";"Financial and insurance activities";15;2
"industry";"Manager";"Information and communication";30;14
"industry";"Technical Architect";"Information and communication";10;6
"industry";"Lead Architect";"Transportation and storage";20;5
"industry";"Consultant";"Other service activities";13;8
"industry";"Software Architect";"Information and communication";3;4
"student";"";"";8;3
"industry";"Software Architect";"Information and communication";15;10
"industry";"Manager";"Information and communication";22;8
"industry";"Software Developer";"Information and communication";16;8
"academia";"";"";10;5
"industry";"Software Architect";"Financial and insurance activities";15;0
"academia";"PhD Student";"";6;3
"academia";"Manager";"";39;20
"industry";"Software Engineer";"Information and communication";15;10
"student";"";"";20;3
"academia";"Senio Researcher";"";14;4
"industry";"Manager";"Information and communication";10;3
"academia";"";"";1;1
"academia";"Software Architect";"";18;11
"academia";"Consultant";"";9;8
"student";"";"";2;5
"academia";"";"";20;7
"academia";"Manager";"";10;3
"student";"";"";8;5
