factorKey;qualityAspectKey;impact
secretsStoredInSpecializedServices;confidentiality;positive
secretsStoredInSpecializedServices;availability;positive
accessControlManagementConsistency;integrity;positive
accountSeparation;accountability;positive
authenticationDelegation;authenticity;positive
limitedDataScope;modularity;positive
commandQueryResponsibilitySegregation;modularity;positive
mostlyStatelessServices;modularity;positive
mostlyStatelessServices;replaceability;positive
mostlyStatelessServices;elasticity;positive
specializedStatefulServices;modularity;positive
specializedStatefulServices;replaceability;positive
specializedStatefulServices;elasticity;positive
asynchronousCommunication;modularity;positive
persistentCommunication;modularity;positive
persistentCommunication;recoverability;positive
usageOfExistingSolutionsForNon-CoreCapabilities;reusability;positive
separationByGateways;reusability;positive
separationByGateways;availability;positive
separationByGateways;integrity;positive
consistentCentralizedLogging;analyzability;positive
consistentCentralizedLogging;recoverability;positive
consistentCentralizedMetrics;analyzability;positive
consistentCentralizedMetrics;recoverability;positive
distributedTracingOfInvocations;analyzability;positive
distributedTracingOfInvocations;recoverability;positive
healthAndReadinessChecks;analyzability;positive
healthAndReadinessChecks;recoverability;positive
automatedInfrastructure;modifiability;positive
automatedInfrastructure;recoverability;positive
useInfrastructureAsCode;modifiability;positive
useInfrastructureAsCode;recoverability;positive
useInfrastructureAsCode;installability;positive
dynamicScheduling;modifiability;positive
dynamicScheduling;recoverability;positive
dynamicScheduling;resourceUtilization;positive
limitedRequestTraceScope;modifiability;positive
limitedRequestTraceScope;coExistence;positive
logicalGrouping;modifiability;positive
logicalGrouping;coExistence;positive
backingServiceDecentralization;modifiability;positive
backingServiceDecentralization;coExistence;positive
managedInfrastructure;resourceUtilization;positive
managedInfrastructure;simplicity;positive
managedBackingServices;resourceUtilization;positive
managedBackingServices;simplicity;positive
serviceReplication;timeBehaviour;positive
horizontalDataReplication;timeBehaviour;positive
verticalDataReplication;timeBehaviour;positive
shardedDataStoreReplication;timeBehaviour;positive
resourceLimits;resourceUtilization;positive
built-InAutoscaling;elasticity;positive
built-InAutoscaling;resourceUtilization;positive
infrastructureAbstraction;adaptability;positive
infrastructureAbstraction;modifiability;positive
infrastructureAbstraction;recoverability;positive
cloudVendorAbstraction;adaptability;positive
configurationStoredInSpecializedServices;adaptability;positive
configurationStoredInSpecializedServices;availability;positive
immutableArtifacts;replaceability;positive
physicalDataDistribution;availability;positive
physicalServiceDistribution;availability;positive
rollingUpgradesEnabled;availability;positive
retriesForSafeInvocations;faultTolerance;positive
circuitBreakedCommunication;faultTolerance;positive
automatedRestarts;recoverability;positive
api-BasedCommunication;interoperability;positive
api-BasedCommunication;testability;positive
contract-BasedLinks;interoperability;positive
contract-BasedLinks;testability;positive
mediatedCommunication;interoperability;positive
mediatedCommunication;modularity;positive
addressingAbstraction;interoperability;positive
addressingAbstraction;modularity;positive
communicationPartnerAbstraction;interoperability;positive
communicationPartnerAbstraction;modularity;positive
communicationPartnerAbstraction;analyzability;negative
